"year","doy","hour","solar","Temp","RH","windspeed","precip"
2008,1,0,0,-6.06866700417936,0.877351670375393,4.28042150255188,0
2008,1,1,0,-6.4408555320926,0.870486690024703,4.28042150255188,0
2008,1,2,0,-6.81304406000589,0.863621709674014,4.28042150255188,0
2008,1,3,0,-7.18523258791913,0.856756729323325,4.00609562484342,0
2008,1,4,0,-7.55742111583243,0.849891748972635,4.00609562484342,0
2008,1,5,0,-7.92960964374572,0.843026768621946,4.00609562484342,0
2008,1,6,0,-8.30179817165902,0.836161788271256,3.78303826428277,0
2008,1,7,0,-8.67398669957225,0.829296807920567,3.78303826428277,0
2008,1,8,0,-9.04617522748555,0.822431827569878,3.78303826428277,0
2008,1,9,0,-9.41836375539879,0.815566847219188,5.01719371144807,0
2008,1,10,0,-9.79055228331208,0.808701866868499,5.01719371144807,0
2008,1,11,1.19774075490476,-10.1862710477972,0.800685609280868,5.01719371144807,0
2008,1,12,4.12968428796871,-10.6619926166267,0.788755009087635,3.91114324458592,0
2008,1,13,13.6629808034349,-11.0247690499113,0.782350539631722,3.91114324458592,0
2008,1,14,49.7158982969065,-11.1037841886748,0.793273685003555,3.91114324458592,0
2008,1,15,164.261409730309,-11.0835063497171,0.824427805628481,3.99265568895155,0
2008,1,16,294.877237990772,-10.9973438240361,0.855301336140029,3.99265568895155,0
2008,1,17,376.532380135342,-10.6143086466212,0.865285118293792,3.99265568895155,0
2008,1,18,434.524183375422,-9.04057457629591,0.857048289608079,3.81671180911058,0
2008,1,19,457.99160901976,-7.13936347537009,0.843192595772371,3.81671180911058,0
2008,1,20,421.292429597092,-5.8230561061788,0.833873041075823,3.81671180911058,0
2008,1,21,314.249139246792,-4.68467165632853,0.825886583675971,3.85265748169265,0
2008,1,22,193.036483022003,-4.03277180066493,0.818687344811057,3.85265748169265,0
2008,1,23,109.911864860314,-4.39143014287021,0.812172295160862,3.85265748169265,0
2008,2,0,45.2961602237801,-5.87089449975917,0.804201231542608,3.46740181686884,0
2008,2,1,5.66933878864967,-7.61634781720528,0.801297792824848,3.46740181686884,0
2008,2,2,0,-8.81993915192459,0.811867267340336,3.46740181686884,0
2008,2,3,0,-9.70463498675383,0.838285410620383,1.4386146411612,0
2008,2,4,0,-10.4093868164668,0.865019667738303,1.4386146411612,0
2008,2,5,0,-10.9557227310645,0.876672130514269,1.4386146411612,0
2008,2,6,0,-11.2847930419289,0.875941706672057,0.973479012281975,0
2008,2,7,0,-11.5516187249132,0.870129581220165,0.973479012281975,0
2008,2,8,0,-11.9366683235509,0.864846544348366,0.973479012281975,0
2008,2,9,0,-12.4421663116559,0.858734556215504,2.00511214932362,0
2008,2,10,0,-12.8809707242529,0.850256946155273,2.00511214932362,0
2008,2,11,0.102965106126967,-13.0604654081359,0.836359450151746,2.00511214932362,0
2008,2,12,2.78005786542811,-12.9697367853654,0.812041804324661,4.07165921986332,0
2008,2,13,12.8706382658709,-12.8341417429658,0.795359064330727,4.07165921986332,0
2008,2,14,47.9826057762379,-12.924356293939,0.807673080452998,4.07165921986332,0
2008,2,15,158.687844853299,-13.3382327626919,0.851919895914446,4.05807423112852,0
2008,2,16,284.997655147453,-13.5115381630018,0.897929530763099,4.05807423112852,0
2008,2,17,364.265126256106,-12.8268691090964,0.916056385416551,4.05807423112852,0
2008,2,18,421.002165060731,-11.2544689664641,0.91049501598474,4.2769684185954,0
2008,2,19,444.319961319503,-9.50101102441215,0.898307353720262,4.2769684185954,0
2008,2,20,409.039996485462,-8.15054831565232,0.892271065456664,4.2769684185954,0
2008,2,21,305.378877507751,-6.87903558984289,0.88629847269816,6.01503957091994,0
2008,2,22,187.865302085898,-6.07455556529754,0.885874944098563,6.01503957091994,0
2008,2,23,107.165611570642,-6.3008746596102,0.900183870360045,6.01503957091994,0
2008,3,0,44.2267576740321,-7.65558850071096,0.932012825902883,6.55887701578971,0
2008,3,1,5.54154390918146,-9.28214378721543,0.963815696764074,6.55887701578971,0
2008,3,2,0,-10.3888451072674,0.978049156976498,6.55887701578971,0
2008,3,3,0,-11.2289470236632,0.977507472150544,6.81305231858498,0
2008,3,4,0,-11.8343812598698,0.971351171422163,6.81305231858498,0
2008,3,5,0,-12.1205192901231,0.966694960305306,6.81305231858498,0
2008,3,6,0,-12.0608710790669,0.96142312771757,6.69537204517432,0
2008,3,7,0,-11.819535258534,0.954768101392213,6.69537204517432,0
2008,3,8,0,-11.5410027384934,0.946694045729574,6.69537204517432,0
2008,3,9,0,-11.1517249511166,0.936841417648252,6.74381667991355,0
2008,3,10,0,-10.7278566899204,0.926324681992114,6.74381667991355,0
2008,3,11,0.135050612156654,-10.3810532577326,0.916167785366802,6.74381667991355,0
2008,3,12,3.64636652822968,-10.122967309071,0.905793940919169,6.3094830771004,0
2008,3,13,16.8813265195819,-9.80698557755454,0.895909562603015,6.3094830771004,0
2008,3,14,63.4483597042421,-9.31678754369869,0.887711014456254,6.3094830771004,0
2008,3,15,211.866718242405,-8.73672845457287,0.881797389827624,4.50500584314539,0
2008,3,16,381.684715752236,-7.93006308845332,0.875175044633,4.50500584314539,0
2008,3,17,488.868998505568,-6.6829144799276,0.864508111575379,4.50500584314539,0
2008,3,18,566.574207172384,-4.89452169121199,0.849574348292592,4.45614072193588,0
2008,3,19,599.369773470903,-3.08104450107004,0.834376349168148,4.45614072193588,0
2008,3,20,552.604005653344,-1.69150642557008,0.822423865886458,4.45614072193588,0
2008,3,21,413.300848071296,-0.464019496459628,0.81231183360751,4.06619366932957,0
2008,3,22,255.040159417773,0.264775897571894,0.804745695166929,4.06619366932957,0
2008,3,23,146.037358767565,-0.00908799692041384,0.801144949572081,4.06619366932957,0
2008,4,0,60.4417353885202,-1.42530888709734,0.801818266795134,3.84639711083392,0
2008,4,1,7.59000240230188,-3.06082589803179,0.80442013791222,3.84639711083392,0
2008,4,2,0,-4.00746562246383,0.806539761671186,3.84639711083392,0
2008,4,3,0,-4.44065568995563,0.808329106456313,3.59341486257816,0
2008,4,4,0,-4.74228661908074,0.81174306836691,3.59341486257816,0
